code,name,type,subtype,description,isHeader
1000,Assets,Asset,Header,Top-level asset category,true
1010,Cash and Cash Equivalents,Asset,Cash,Header for cash accounts,true
1011,General Fund Checking,Asset,Cash,Primary operating checking account,false
1012,Savings Account,Asset,Cash,Church savings account,false
1013,Petty Cash,Asset,Cash,Small on-hand cash for minor expenses,false
1014,Building Fund Account,Asset,Cash,Separate bank account for building fund,false
1015,Missions Fund Account,Asset,Cash,Separate bank account for missions fund,false
1016,Benevolence Fund Account,Asset,Cash,Separate bank account for benevolence fund,false
1100,Accounts Receivable,Asset,Receivable,Amounts owed to the church,false
1200,Prepaid Expenses,Asset,Prepaid,Payments made in advance,false
1300,Investments,Asset,Investment,Church investment accounts,false
1400,Fixed Assets,Asset,Fixed Asset,Header for long-term tangible assets,true
1410,Land,Asset,Fixed Asset,Church-owned land,false
1420,Buildings,Asset,Fixed Asset,Church buildings and sanctuaries,false
1430,Furniture and Fixtures,Asset,Fixed Asset,"Pews, pulpit furniture, office furniture",false
1440,Sound and Media Equipment,Asset,Fixed Asset,"Audio, video, and livestream equipment",false
1450,Musical Instruments,Asset,Fixed Asset,"Pianos, organs, and other instruments",false
1460,Vehicles,Asset,Fixed Asset,Church vans and buses,false
1470,Accumulated Depreciation,Asset,Fixed Asset,Total depreciation (contra),false
2000,Liabilities,Liability,Header,Top-level liability category,true
2010,Accounts Payable,Liability,Payable,Amounts owed to vendors,false
2100,Credit Card Payable,Liability,Payable,Outstanding credit card balances,false
2200,Accrued Liabilities,Liability,Accrued,Expenses incurred but not yet paid,false
2300,Payroll Liabilities,Liability,Payroll,Header for payroll obligations,true
2310,Salaries Payable,Liability,Payroll,Pastor and staff wages not yet paid,false
2320,Payroll Taxes Payable,Liability,Payroll,Payroll taxes withheld and owed,false
2330,Housing Allowance Payable,Liability,Payroll,Minister housing allowance obligations,false
2400,Mortgage Payable,Liability,Loan,Building mortgage balance,false
2500,Other Loans Payable,Liability,Loan,Vehicle loans and other debt,false
2600,Designated Funds Held,Liability,Designated,Donor-designated funds for specific purposes,false
3000,Net Assets,Equity,Header,Top-level net assets category,true
3100,Unrestricted Net Assets,Equity,Without Donor Restrictions,General fund net assets,false
3200,Temporarily Restricted Net Assets,Equity,With Donor Restrictions,Funds restricted for specific purposes,false
3300,Permanently Restricted Net Assets,Equity,With Donor Restrictions,Endowment funds with permanent restrictions,false
3400,Net Assets in Fixed Assets,Equity,Fixed Asset Equity,Net assets invested in property and equipment,false
4000,Revenue and Support,Revenue,Header,Top-level revenue category,true
4010,Tithes,Revenue,Tithes and Offerings,Regular tithe contributions from members,false
4020,General Offerings,Revenue,Tithes and Offerings,Undesignated weekly offerings,false
4030,Online Giving,Revenue,Tithes and Offerings,Donations received through online platforms,false
